1	249250621
10	135534747
11	135006516
12 	133851895
13	115169878
14	107349540
15	102531392
16	90354753
17	81195210
18	78077248
19	59128983
2	243199373
20	63025520
21	48129895
22	51304566
3	198022430
4	191154276
5	180915260
6	171115067
7	159138663
8	146364022
9	141213431
23	16569
24	155270560
25	59373566
26	547496
27	211173
28	191469
29 	189789
30	187035
31	186861
32	186858
33	182896
34	180455
35 	179693
36	179198
37	174588
38	172545
39	172294
40	172149
41	169874
42	166566
43	164239
44	161802
45	161147
46	159169
47	155397
48	137718
49	129120
50 	128374
51	106433
52	92689
53	90085
54	81310
55	45941
56	45867
57	43691
58	43523
59	43341
60	42152
61	41934
62	41933
63	41001
64	40652
65	40531
66	40103
67	39939
68	39929
69	39786
70	38914
71 	38502
72	38154
73	37498
74	37175
75	36651
76	36422
77	36148
78	34474
79	33824
80	27682
81	27386
82	19913
83	15008
84	4262
